,rating,aircraft,type_of_traveller,cabin_flown,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,verified,review
0,2,,Family Leisure,Economy Class,Orlando to Newark,November 2023,3,4,3,4,5,4,4,0,Not Verified ,"  Family of 4 was split to single seats. To make things worse, we were all assigned middle seats so other ""single"" passengers did not want to switch. Why would you separate a family with 2 kids? We fly out twice a year for vacations. No longer flying Frontier and Spirit. Adding Delta to that list."
1,1,,Family Leisure,Economy Class,La Guardia to Miami ,November 2023,1,1,,,1,,1,0,Not Verified ,   Delta Airlines customer service was bad. Staff members were unhelpful and unprofessional of the delayed flight. Staff was very rude and even laughed at me while asking questions. I asked the  questions respectfully and I am baffled for the unprofessionalism. No one knew how to give direct answers on how to fix their mistake on my delayed flight. Rather received a mockery attitude and much uncertain answers. Save your money and go fly elsewhere please.
2,1,,Solo Leisure,Economy Class,Boston to Las Vegas,May 2023,1,1,1,1,1,1,1,0,Not Verified ," I purchased a ticket for a flight on May 23rd. They gave me a ticket for May 24th. When I pointed out that it was their error and that they gave me the incorrect ticket, they refused to assist me. I was forced to purchase a fare adjustment to be placed back on the correct flight that I actually purchased. After several commissions through different channels, they have thus far refused to refund the fraudulent fare adjustment charge with no explanation or apology for their neglect and incompetence."
3,1,,Family Leisure,Economy Class,Norfolk to Dallas Ft Worth,November 2023,1,3,1,1,1,1,1,0,✅ Trip Verified ,"  I was charged $1486.20 on the Nov.3rd 2023 when I bought the tickets, then was charged again for $1486.20 on the 5th. I called Delta after finally getting connected to someone who can speak English, I was told they can't refund me because they only have the ticket numbers I paid for and to call my bank. My bills are passed due now and I have late fees on my rent/phone etc. Will never fly Delta again. Especially after insinuating I was lying when I have my bank statement."
4,10,,Couple Leisure,Economy Class,Lima to Winnipeg ,October 2023,4,5,5,5,5,,3,1,Not Verified ,   After a delayed take off we missed our connecting flights. The person at the Delta counter (Kristie) was very helpful in rebooking us. She went above and beyond to get us the best rebook possible. Thank You Delta / Kristie. 
5,1,A321 neo,Solo Leisure,First Class,Los Angeles to Kahului ,October 2023,1,3,1,1,3,1,1,0,✅ Trip Verified ,"  I'm handicapped and specifically booked 1st class to be sure I have some comfort from LAX to OGG. However, this was the worst experience in over 35 years of flying. For 839$ (one way!) I got less space and comfort than on Hawaiian Airlines economy. The cabin was ice cold, no seat extension or anything, max 10°reclining possible. I took several pictures, some attaching. I expected an apology or refund, nada. Do not fly Delta."
6,1,,Business,Premium Economy,Fort Lauderdale to Los Angeles,October 2023,1,1,1,3,1,3,1,0,✅ Trip Verified ," I am writing to express my profound disappointment with the service I received on Delta Flight 800. I have always chosen Delta for its reputation for superior service and reliability, but my recent experience has made me reconsider that choice. To begin with, I was taken aback when, after upgrading to Comfort Class, I was relocated from an aisle seat to a middle seat without any prior notification or choice. Such a switch considerably reduced the comfort level I had anticipated with the upgrade. This was the first sign of my forthcoming ordeal. Upon addressing my concern at the airport, I was given a sheer run-around, being referred from one agent to another, with each passing the responsibility onto someone else. It felt as though my comfort and satisfaction as a customer were not valued in the slightest. My in-flight experience was no better. The flight attendants seemed disinterested and distant, making me feel more like a burden than a valued passenger. My simple request for an apple juice was met with confusion as I was handed a diet coke instead. This may seem like a trivial mistake, but it's indicative of the lack of attention to passenger needs. Moreover, after requesting headsets to perhaps distract myself from the accumulating frustrations, I had to repeat my request. Waiting an hour for such a basic amenity is unacceptable, especially when I could see other passengers receiving prompt service. I had hoped that my upgrade to Comfort Class would ensure a pleasant journey, but I found myself facing a series of disappointments and inconveniences. The lack of coordination, attention to detail, and basic courtesy have left a lasting negative impression. I urge Delta to look into these matters seriously. No passenger should feel as undervalued and disregarded as I did on Flight 800."
7,10,,Solo Leisure,Economy Class,Sacramento to Boise,October 2023,5,5,5,,5,,5,1,✅ Trip Verified ,"  The flight attendants on my flight were absolutely the greatest ever. Kennedy, Brigit, Robin & Goldie made me feel comfortable and relaxed during my emergency flight to Idaho to see my dying sister. They checked on my well being throughout the flight and stopped by my seat to give me hugs. I'm so grateful for the crew."
8,9,CRJ-900/A220-300,Solo Leisure,Premium Economy,Providence to Dallas Fort-Worth via LaGuardia,October 2023,5,4,4,4,4,4,5,1,✅ Trip Verified ," Inbound flight from PVD to DFW via LGA was on a CRJ900. This aircraft is comfortable with plenty of legroom; however, the overhead cabins are too small to hold a carry on bag with outside pocket. No delay and smooth flight to LGA. Connecting flight to DFW was on a A220-300. This is an awesome aircraft. If I could fly the A220-300 all the time I would do it. The engines are very quiet. The seats are wider than bigger single aisle planes and very comfortable. The overhead cabins are large enough to accommodate carryon bags. The bathrooms are spacious more so than on larger single aisle planes e.g. B737 and/or A320s. No delay on either leg and the cabin crews were very friendly offering snacks periodically. In flight WiFi worked flawlessly on A220 but was spotty on CRJ 900. I haven't flown DL in quite come time, but I definitely would fly this airline again."
9,8,767-400,Solo Leisure,Business Class,New York to Paris CDG,August 2023,4,5,3,4,2,4,5,1,✅ Trip Verified ,"  I hold a business class ticket from Air France. Air France cancelled my flight and rebooked me with Delta. Things seemed to be smooth as I could select my seat, 1D, and checked on Delta's website that the seat was reserved,  until Delta required me to check-in at the airport. I went to the Delta One section, the check-in agent was very nice and found my reservation, provided to me a boarding pass, only without a seat number. She made several attempts to request for one, but the system only allowed my seat to be assigned at the gate. Not only that, my boarding pass neither showed the class of service nor Sky Priority status, though she ensured me several times that I would be travelling in Delta One. The inconvenience began from there, with the security agent refused to allow me to use the Sky Priority line; not an issue as I was early. I did not get access to the Sky Club; not an issue either as I still could do it with my Amex Platinum card but chose to skip as the Sky Club was packed with a long waiting line. The gate agent finally assigned me a seat, exactly my seat 1D, but only until an hour before boarding. With US carriers having a reputation of dumping passengers for no reason, being through that process is not fun. It got a lot better on board, though not necessarily excellent. Cabin staff were very nice and accommodating. Food was just average in taste, and the whole meal was served on a single tray. I flew Delta One from JFK to Frankfurt a year earlier, and the meal was delicious and was properly served course after course. Not sure why there is such disparity on 2 very comparable routes. The semi-Delta One Suite was more spacious and comfortable than I thought, but it still lagged behind many leading products out there. Why do I still recommend the airline? Because I could see efforts from staff to help me. It was their system that was bad."
